iter	Logloss
0	0.67265625
1	0.6529260864
2	0.6346099854
3	0.6177615967
4	0.6022429199
5	0.5877182617
6	0.5752038574
7	0.5630748291
8	0.5522906494
9	0.5404708252
10	0.5287937012
11	0.5202122803
12	0.5107078857
13	0.5023272705
14	0.4928100891
15	0.4854884644
16	0.4793352661
17	0.4717389526
18	0.4648352661
19	0.4582012024
20	0.452373291
21	0.4466343384
22	0.4408218994
23	0.4352060852
24	0.4313147888
25	0.4261074829
26	0.4213986816
27	0.4170656128
28	0.4125598145
29	0.4083167114
30	0.4047220764
31	0.4023354492
32	0.399847229
33	0.3975016785
34	0.3940684814
35	0.3918522644
36	0.3896459961
37	0.3875206604
38	0.3858834839
39	0.3837097473
40	0.3813449402
41	0.3795340881
42	0.3777721558
43	0.3762402039
44	0.37399823
45	0.3719178467
46	0.370554657
47	0.3685650635
48	0.3668345947
49	0.3655177002
50	0.3643693542
51	0.3633808594
52	0.3622420654
53	0.3609332886
54	0.3598046265
55	0.3587398376
56	0.3575068359
57	0.3565535583
58	0.3553533936
59	0.3545492249
60	0.353605835
61	0.3529981079
62	0.3525610962
63	0.351628479
64	0.3505448608
65	0.3499252319
66	0.3488873901
67	0.3482470703
68	0.3475377808
69	0.3467963257
70	0.3462564697
71	0.3458163147
72	0.3453361206
73	0.3446426392
74	0.3442711182
75	0.3437030029
76	0.3432827759
77	0.3424720459
78	0.3418691711
79	0.341360199
80	0.3406869507
81	0.3400530701
82	0.3395790405
83	0.3390754395
84	0.3386792908
85	0.3382472839
86	0.3376170044
87	0.3372453308
88	0.3368832397
89	0.3363276978
90	0.3358416443
91	0.3352453918
92	0.3347006226
93	0.3343009949
94	0.333927948
95	0.3334388733
96	0.3330118408
97	0.3326992798
98	0.3324042358
99	0.3318343201
100	0.331406311
101	0.330951355
102	0.3307992859
103	0.3304422607
104	0.3301499023
105	0.3297836914
106	0.3294351196
107	0.3291488037
108	0.3288768921
109	0.3285328369
110	0.3281217346
111	0.327835144
112	0.3275947266
113	0.3273751831
114	0.3271213379
115	0.3268338013
116	0.326668335
117	0.3264104004
118	0.3262105103
119	0.3259679565
120	0.3257926331
121	0.3255896606
122	0.3253721924
123	0.3251969604
124	0.325056427
125	0.3248349609
126	0.324518219
127	0.3242754517
128	0.3240760193
129	0.3238301392
130	0.32365979
131	0.3234871826
132	0.3233608398
133	0.3230992126
134	0.3228410034
135	0.3226248474
136	0.322472229
137	0.3223160095
138	0.3220951843
139	0.321839325
140	0.3216900024
141	0.3214867554
142	0.3212738953
143	0.3210412598
144	0.3208432312
145	0.3206296692
146	0.320382782
147	0.3201755066
148	0.3200265198
149	0.3197376709
150	0.3195793457
151	0.3193390198
152	0.3192178345
153	0.319109314
154	0.3188693542
155	0.3186210937
156	0.3184445801
157	0.3182800598
158	0.31809729
159	0.317938385
160	0.3176859741
161	0.3175203247
162	0.3173129272
163	0.3171482544
164	0.3168780212
165	0.3167306519
166	0.3165438538
167	0.3163787842
168	0.316184845
169	0.3160675659
170	0.3158447876
171	0.3156836243
172	0.3153936768
173	0.3153137207
174	0.3151160889
175	0.3149700623
176	0.31476297
177	0.3146513672
178	0.3145053711
179	0.3142862549
180	0.3140949707
181	0.3138841553
182	0.3137079163
183	0.3135692749
184	0.3133330994
185	0.3132593994
186	0.3131651306
187	0.3130515442
188	0.3128898621
189	0.312760437
190	0.3125687561
191	0.3124008484
192	0.3122329102
193	0.3120602417
194	0.3119441223
195	0.3117844238
196	0.3116965332
197	0.3116471252
198	0.3114700928
199	0.311322998
200	0.3111575317
201	0.3109724121
202	0.3108118286
203	0.3106742554
204	0.3104958801
205	0.3104259949
206	0.3102590942
207	0.3101085205
208	0.3099341736
209	0.3097903442
210	0.3096253967
211	0.3095186768
212	0.309383667
213	0.3092882385
214	0.3091602173
215	0.3089549561
216	0.3088524475
217	0.3087063904
218	0.3085906982
219	0.3084098816
220	0.3083253784
221	0.3081853333
222	0.3080194092
223	0.3079476929
