iter	Passed	Remaining
0	31	31181
1	45	22641
2	60	20058
3	72	18042
4	83	16629
5	94	15712
6	102	14535
7	109	13635
8	116	12817
9	122	12105
10	127	11488
11	134	11042
12	139	10593
13	145	10235
14	151	9967
15	157	9661
16	162	9388
17	168	9191
18	173	8974
19	179	8789
20	184	8615
21	190	8466
22	195	8321
23	201	8191
24	206	8067
25	212	7954
26	217	7848
27	223	7762
28	229	7677
29	234	7591
30	240	7509
31	245	7437
32	251	7364
33	256	7294
34	262	7237
35	267	7176
36	273	7115
37	279	7070
38	284	6999
39	289	6942
40	294	6898
41	300	6850
42	305	6810
43	312	6785
44	317	6739
45	323	6699
46	329	6684
47	335	6649
48	340	6613
49	346	6586
50	352	6554
51	357	6523
52	363	6492
53	368	6463
54	374	6439
55	381	6434
56	388	6422
57	394	6407
58	400	6394
59	406	6366
60	412	6345
61	417	6318
62	421	6274
63	427	6257
64	433	6231
65	439	6217
66	444	6196
67	450	6173
68	456	6159
69	462	6138
70	467	6116
71	473	6097
72	478	6074
73	483	6051
74	488	6025
75	494	6006
76	499	5984
77	504	5967
78	510	5948
79	516	5935
80	522	5924
81	527	5907
82	533	5888
83	539	5885
84	545	5869
85	550	5850
86	556	5844
87	562	5827
88	567	5811
89	573	5796
90	578	5779
91	583	5763
92	589	5751
93	595	5738
94	600	5724
95	606	5709
96	611	5693
97	617	5681
98	622	5668
99	628	5652
100	633	5641
101	639	5628
102	644	5608
103	649	5596
104	655	5583
105	660	5571
106	666	5559
107	671	5546
108	676	5533
109	682	5520
110	687	5508
111	693	5496
112	698	5484
113	704	5472
114	709	5460
115	715	5450
116	720	5439
117	726	5428
118	731	5416
119	736	5404
120	742	5393
121	747	5382
122	753	5372
123	758	5359
124	765	5355
125	771	5350
126	776	5338
127	783	5335
128	788	5323
129	793	5313
130	799	5306
131	805	5296
132	810	5285
133	816	5278
134	821	5266
135	827	5259
136	833	5251
137	838	5239
138	844	5229
139	849	5219
140	855	5209
141	860	5200
142	866	5190
143	871	5180
144	877	5171
145	882	5162
146	887	5151
147	893	5142
148	898	5133
149	904	5125
150	910	5118
151	916	5111
152	921	5102
153	928	5101
154	934	5092
155	940	5089
156	946	5082
157	952	5073
158	958	5068
159	964	5061
160	970	5055
161	977	5054
162	982	5045
163	987	5035
164	994	5031
165	999	5022
166	1005	5015
167	1010	5005
168	1118	5499
169	1125	5495
170	1135	5505
171	1143	5504
172	1151	5503
173	1158	5501
174	1164	5489
175	1170	5480
176	1176	5468
177	1181	5455
178	1186	5442
179	1192	5430
180	1197	5417
181	1203	5407
182	1208	5394
183	1213	5382
184	1219	5370
185	1224	5358
186	1229	5345
187	1235	5335
188	1240	5323
189	1245	5310
190	1251	5299
191	1256	5287
192	1261	5275
193	1267	5264
194	1272	5252
195	1277	5241
196	1283	5230
197	1288	5218
198	1293	5207
199	1299	5197
200	1304	5186
201	1309	5175
202	1315	5164
203	1320	5154
204	1326	5143
205	1331	5132
206	1337	5122
207	1342	5111
208	1347	5101
209	1353	5093
210	1359	5083
211	1364	5073
212	1370	5062
213	1375	5051
214	1381	5045
215	1387	5036
216	1393	5026
217	1399	5020
218	1404	5009
219	1410	4999
220	1416	4992
221	1421	4982
222	1427	4974
223	1433	4966
224	1438	4956
225	1444	4946
226	1449	4937
227	1455	4927
228	1460	4917
229	1466	4908
230	1471	4899
231	1477	4889
232	1482	4880
233	1487	4869
234	1493	4860
235	1498	4851
236	1503	4841
237	1509	4832
238	1514	4823
239	1520	4814
240	1525	4805
241	1531	4796
242	1536	4786
243	1542	4780
244	1548	4772
245	1553	4762
246	1559	4753
247	1564	4744
248	1569	4734
249	1575	4726
250	1580	4717
251	1586	4708
252	1590	4696
253	1596	4688
254	1601	4679
255	1607	4671
256	1613	4663
257	1618	4654
258	1623	4645
259	1629	4636
260	1634	4628
261	1640	4620
262	1645	4611
263	1651	4602
264	1656	4594
265	1662	4586
266	1668	4580
267	1674	4574
268	1680	4566
269	1685	4557
270	1692	4552
271	1697	4543
272	1703	4535
273	1708	4527
274	1714	4519
275	1719	4511
276	1725	4503
277	1730	4494
278	1736	4486
279	1741	4478
280	1747	4470
281	1752	4462
282	1758	4454
283	1763	4446
284	1769	4438
285	1774	4430
286	1780	4422
287	1785	4415
288	1791	4407
289	1796	4399
290	1802	4391
291	1807	4382
292	1812	4374
293	1818	4366
294	1823	4358
295	1829	4350
296	1834	4342
297	1840	4334
298	1845	4326
299	1850	4318
300	1856	4310
301	1861	4302
302	1866	4294
303	1872	4286
304	1877	4278
305	1883	4271
306	1888	4263
307	1893	4255
308	1899	4247
309	1904	4240
310	1910	4232
311	1915	4224
312	1921	4217
313	1926	4209
314	1934	4206
315	1940	4199
316	1946	4194
317	1953	4188
318	1958	4181
319	1964	4175
320	1970	4167
321	1975	4159
322	1981	4153
323	1985	4142
324	1990	4134
325	1996	4127
326	2001	4119
327	2007	4112
328	2012	4104
329	2017	4096
330	2023	4089
331	2028	4082
332	2034	4074
333	2039	4067
334	2045	4059
335	2050	4052
336	2055	4044
337	2061	4037
338	2066	4029
339	2071	4022
340	2078	4016
341	2083	4009
342	2088	4001
343	2095	3995
344	2100	3988
345	2106	3981
346	2112	3975
347	2117	3968
348	2123	3960
349	2129	3954
350	2134	3946
351	2140	3939
352	2145	3933
353	2151	3925
354	2157	3919
355	2162	3912
356	2168	3905
357	2173	3898
358	2179	3891
359	2184	3883
360	2189	3876
361	2195	3869
362	2200	3862
363	2206	3855
364	2211	3848
365	2217	3841
366	2223	3834
367	2228	3827
368	2233	3820
369	2239	3812
370	2244	3805
371	2249	3798
372	2255	3791
373	2260	3784
374	2265	3776
375	2271	3770
376	2277	3763
377	2282	3756
378	2288	3749
379	2293	3741
380	2298	3734
381	2304	3727
382	2309	3721
383	2315	3714
384	2321	3707
385	2326	3700
386	2331	3693
387	2339	3689
388	2344	3682
389	2351	3677
390	2356	3670
391	2361	3663
392	2367	3656
393	2372	3649
394	2378	3642
395	2383	3636
396	2389	3629
397	2395	3622
398	2400	3615
399	2405	3608
400	2411	3601
401	2416	3594
402	2421	3587
403	2427	3580
404	2432	3573
